ts,type,slug,tick,data
1767442091.703718,quote,btc-updown-15m-1767441600,30,"{""type"": ""quote"", ""tick"": 30, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.05"", ""ask"": ""0.06""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.94"", ""ask"": ""0.95""}}}"
1767442092.7062821,tick,btc-updown-15m-1767441600,31,"{""type"": ""tick"", ""tick"": 31, ""slug"": ""btc-updown-15m-1767441600""}"
1767442094.366959,quote,btc-updown-15m-1767441600,31,"{""type"": ""quote"", ""tick"": 31, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.04"", ""ask"": ""0.06""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.94"", ""ask"": ""0.95""}}}"
1767442095.3695683,tick,btc-updown-15m-1767441600,32,"{""type"": ""tick"", ""tick"": 32, ""slug"": ""btc-updown-15m-1767441600""}"
1767442096.9248347,quote,btc-updown-15m-1767441600,32,"{""type"": ""quote"", ""tick"": 32, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.05"", ""ask"": ""0.06""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.94"", ""ask"": ""0.95""}}}"
1767442097.9266415,tick,btc-updown-15m-1767441600,33,"{""type"": ""tick"", ""tick"": 33, ""slug"": ""btc-updown-15m-1767441600""}"
1767442099.4891162,quote,btc-updown-15m-1767441600,33,"{""type"": ""quote"", ""tick"": 33, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.04"", ""ask"": ""0.06""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.94"", ""ask"": ""0.96""}}}"
1767442100.4916968,tick,btc-updown-15m-1767441600,34,"{""type"": ""tick"", ""tick"": 34, ""slug"": ""btc-updown-15m-1767441600""}"
1767442102.046293,quote,btc-updown-15m-1767441600,34,"{""type"": ""quote"", ""tick"": 34, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.04"", ""ask"": ""0.05""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.95"", ""ask"": ""0.96""}}}"
1767442103.0491247,tick,btc-updown-15m-1767441600,35,"{""type"": ""tick"", ""tick"": 35, ""slug"": ""btc-updown-15m-1767441600""}"
1767442104.6051579,quote,btc-updown-15m-1767441600,35,"{""type"": ""quote"", ""tick"": 35, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.04"", ""ask"": ""0.05""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.95"", ""ask"": ""0.96""}}}"
1767442105.6078074,tick,btc-updown-15m-1767441600,36,"{""type"": ""tick"", ""tick"": 36, ""slug"": ""btc-updown-15m-1767441600""}"
