enter_1,stop_drop,take_profit,entry_cap,t_enter,stop_confirm,stable,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.9,0.12,0.98,0.95,180,30,15,-1.45,-4.75,-3.83,-3.9,1.6,0.85,2.45,67,16,170
0.8,0.12,0.98,0.9,180,30,60,-0.08,-7.6,-3.88,3.8,0.42,-4.3,-3.88,38,13,104
0.9,0.06,0.99,0.9,450,0,15,-1.17,-5.47,-3.91,1.3,2.5,-4.97,-2.47,38,35,146
0.9,0.06,0.98,0.95,450,0,60,-1.26,-5.4,-3.96,0.38,-2.1,0.46,-1.64,69,27,196
0.9,0.1,0.98,0.95,300,0,60,-1.28,-5.35,-3.96,-3.32,1.6,0.44,2.04,52,16,138
0.9,0.1,0.99,0.9,450,20,60,-1.37,-5.2,-3.97,-0.6,1.6,-2.37,-0.77,17,6,46
0.8,0.1,0.98,0.9,180,30,60,-0.19,-7.6,-3.99,3.8,-0.49,-3.5,-3.99,38,13,104
0.9,0.08,0.98,0.9,180,20,0,-0.35,-7.3,-4.0,-2.1,1.2,0.55,1.75,49,17,132
0.9,0.06,0.99,0.95,450,0,60,-0.56,-6.95,-4.03,2.89,-1.8,-1.65,-3.45,65,31,196
0.85,0.06,0.98,0.9,180,30,60,-1.24,-5.8,-4.14,-0.5,1.81,-2.55,-0.74,22,10,64
0.9,0.08,0.98,0.9,300,0,15,-1.65,-5.0,-4.15,-4.3,2.7,-0.05,2.65,29,21,100
0.85,0.08,0.98,0.9,450,30,30,2.33,-13.01,-4.18,7.65,1.05,-6.37,-5.32,99,37,272
0.85,0.06,0.99,0.9,180,30,60,-1.29,-5.8,-4.19,-0.6,1.91,-2.6,-0.69,22,10,64
0.9,0.08,0.98,0.95,180,30,0,0.16,-8.7,-4.19,-1.4,3.4,-1.84,1.56,77,19,194
0.9,0.1,0.98,0.95,180,30,0,0.86,-10.09,-4.19,2.2,3.4,-4.74,-1.34,77,19,194
0.85,0.12,0.98,0.95,450,30,60,1.1,-10.6,-4.2,2.71,2.3,-3.91,-1.61,120,24,290
0.9,0.06,0.99,0.9,180,20,30,-1.9,-4.6,-4.2,-1.0,0.8,-1.7,-0.9,10,4,28
0.9,0.06,0.98,0.9,180,20,30,-1.95,-4.6,-4.25,-1.1,0.7,-1.55,-0.85,10,4,28
0.8,0.08,0.99,0.9,180,30,60,-0.91,-6.71,-4.27,3.0,-0.39,-3.52,-3.91,37,14,104
0.85,0.08,0.98,0.9,180,30,0,0.91,-10.35,-4.27,4.0,2.71,-5.8,-3.09,72,29,202
0.85,0.12,0.98,0.9,180,20,60,-0.84,-6.9,-4.29,0.1,1.81,-2.75,-0.94,23,9,64
0.9,0.06,0.99,0.9,300,0,30,-1.9,-4.8,-4.3,0.7,1.7,-4.3,-2.6,15,14,58
0.85,0.12,0.99,0.9,180,20,60,-0.89,-6.9,-4.34,-0.0,1.91,-2.8,-0.89,23,9,64
0.85,0.12,0.99,0.95,180,30,30,-0.39,-8.0,-4.39,-2.7,3.91,-1.6,2.31,68,19,176
0.85,0.08,0.98,0.9,180,0,30,-0.74,-7.3,-4.39,-3.4,2.51,0.15,2.66,33,20,106
0.85,0.08,0.99,0.9,180,0,30,-0.59,-7.6,-4.39,-3.7,2.71,0.4,3.11,33,20,106
0.9,0.06,0.98,0.95,180,0,60,-2.08,-4.63,-4.4,-4.33,-0.1,2.35,2.25,21,11,68
0.8,0.06,0.98,0.9,450,0,0,9.76,-28.48,-4.48,22.95,3.64,-16.83,-13.19,91,106,428
0.9,0.06,0.99,0.9,300,0,0,-1.1,-6.8,-4.5,2.8,0.9,-4.8,-3.9,64,57,242
0.9,0.1,0.99,0.9,300,0,60,-2.2,-5.2,-4.8,0.9,0.8,-3.9,-3.1,10,6,32
0.9,0.1,0.99,0.9,180,20,30,-2.3,-5.0,-4.8,-1.4,0.8,-1.7,-0.9,10,4,28
0.9,0.12,0.98,0.9,450,30,15,-0.35,-8.9,-4.8,-0.3,3.3,-3.35,-0.05,55,18,146
0.9,0.08,0.98,0.9,450,30,15,-0.65,-8.35,-4.83,-0.7,3.3,-3.25,0.05,54,19,146
0.85,0.06,0.99,0.9,180,0,30,-1.69,-6.3,-4.84,-2.3,2.71,-2.1,0.61,30,23,106
0.9,0.12,0.99,0.9,300,20,60,-2.5,-4.7,-4.85,0.1,0.8,-3.4,-2.6,11,5,32
0.9,0.12,0.99,0.95,180,0,60,-2.8,-4.1,-4.85,-4.1,1.2,0.1,1.3,24,8,68
